charge_off,mth_code,snapshot,account_status_code,active,bank_fico_buckets_20,ever_delinquent_flg,industry,mob,stmt_balance,prev_balance,balance_decrease,month_diff,industry_A,industry_B,industry_C
0,202001,202001,0,1,12.0,0.0,B,42,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,48,0.0,3519.68,3519.68,0,0,1,0
0,202001,202001,0,1,12.0,0.0,A,244,497.8,0.0,-497.8,0,1,0,0
0,202001,202001,0,1,5.0,0.0,A,76,0.0,0.0,0.0,0,1,0,0
0,202001,202001,0,1,12.0,0.0,C,143,430.09,0.0,-430.09,0,0,0,1
0,202001,202001,0,1,6.0,0.0,C,12,0.0,0.0,0.0,0,0,0,1
0,202001,202001,0,1,12.0,1.0,A,53,1687.99,651.0,-1036.99,0,1,0,0
0,202001,202001,0,1,9.0,0.0,B,29,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,72,232.01,1250.76,1018.75,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,10,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,12.0,0.0,A,58,64.36,75.0,10.64,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,66,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,3,7924.77,0.0,-7924.77,0,0,1,0
0,202001,202001,1,1,12.0,1.0,B,12,599.8,0.0,-599.8,0,0,1,0
0,202001,202001,1,1,5.0,0.0,B,44,630.25,0.0,-630.25,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,87,0.0,0.0,0.0,0,0,1,0
0,202001,202001,1,1,12.0,1.0,A,18,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,10.0,0.0,B,8,5322.09,2587.0,-2735.09,0,0,1,0
0,202001,202001,0,1,9.0,0.0,A,93,2159.6,5391.0,3231.4,0,1,0,0
0,202001,202001,0,1,12.0,0.0,B,24,0.0,800.0,800.0,0,0,1,0
0,202001,202001,0,1,6.0,0.0,B,49,0.0,1660.0,1660.0,0,0,1,0
0,202001,202001,1,1,12.0,0.0,A,146,0.0,0.0,0.0,0,1,0,0
0,202001,202001,1,1,8.0,0.0,B,26,0.0,1773.75,1773.75,0,0,1,0
0,202001,202001,0,1,5.0,0.0,B,174,0.0,378.75,378.75,0,0,1,0
0,202001,202001,1,1,12.0,0.0,B,3,0.0,808.81,808.81,0,0,1,0
0,202001,202001,1,1,8.0,0.0,B,29,0.0,0.0,0.0,0,0,1,0
0,202001,202001,0,1,12.0,0.0,A,11,0.0,0.0,0.0,0,1,0,0
